id,title,description,price,availability,condition,brand,product_type,google_product_category,image_link,link,gtin,mpn,age_group,gender,size,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
6f3457e6-04b0-47fc-8b14-f8524de25d0e,"اثيوبيـــا - 1 kg - زعفران - حبوب كاملة","نفخر بنكهة القهوة العربية اإلماراتية المحضرة حسب أصولها،
بدءا من انتقاء حبوب البن الخضراء وتحميصها بكل حب حتى ً
إضافة الهيل والزعفران، استمتع بتجربة فريدة للتعرف على تقاليدنا وثقافتنا.",166.00 AED,in stock,new,"المحامص الخضراء","القهوة العربية",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636461/greenroasteries/variations/variations/ARABICA-ethiopia_var_6f3457e6-04b0-47fc-8b14-f8524de25d0e.webp,https://thegreenroasteries.com/product/ethiopia,ET-SF-1KG-T,ET-SF-1KG-T,adult,unisex,"1 kg","Arabic Coffee","القهوة العربية","زعفران","حبوب كاملة","UAE"
34955ffb-6e9c-4632-83b2-55d5d1646a2f,"اثيوبيـــا - 250 g - هيل و زعفران - حبوب كاملة","نفخر بنكهة القهوة العربية اإلماراتية المحضرة حسب أصولها،
بدءا من انتقاء حبوب البن الخضراء وتحميصها بكل حب حتى ً
إضافة الهيل والزعفران، استمتع بتجربة فريدة للتعرف على تقاليدنا وثقافتنا.",57.95 AED,in stock,new,"المحامص الخضراء","القهوة العربية",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636466/greenroasteries/variations/variations/ARABICA-ethiopia_var_34955ffb-6e9c-4632-83b2-55d5d1646a2f.webp,https://thegreenroasteries.com/product/ethiopia,ET-SF-CAR-250G-T,ET-SF-CAR-250G-T,adult,unisex,"250 g","Arabic Coffee","القهوة العربية","هيل و زعفران","حبوب كاملة","UAE"
46eac318-05a4-426c-872e-fc73f076616f,"اثيوبيـــا - 1 kg - زعفران - حبوب مطحونة","نفخر بنكهة القهوة العربية اإلماراتية المحضرة حسب أصولها،
بدءا من انتقاء حبوب البن الخضراء وتحميصها بكل حب حتى ً
إضافة الهيل والزعفران، استمتع بتجربة فريدة للتعرف على تقاليدنا وثقافتنا.",166.00 AED,in stock,new,"المحامص الخضراء","القهوة العربية",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636476/greenroasteries/variations/variations/ARABICA-ethiopia_var_46eac318-05a4-426c-872e-fc73f076616f.webp,https://thegreenroasteries.com/product/ethiopia,ET-SF-1KG-G,ET-SF-1KG-G,adult,unisex,"1 kg","Arabic Coffee","القهوة العربية","زعفران","حبوب مطحونة","UAE"
deed27a1-db3b-461f-93eb-07b34fc599be,"اثيوبيـــا - 250 g - هيل - حبوب مطحونة","نفخر بنكهة القهوة العربية اإلماراتية المحضرة حسب أصولها،
بدءا من انتقاء حبوب البن الخضراء وتحميصها بكل حب حتى ً
إضافة الهيل والزعفران، استمتع بتجربة فريدة للتعرف على تقاليدنا وثقافتنا.",47.95 AED,in stock,new,"المحامص الخضراء","القهوة العربية",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636497/greenroasteries/variations/variations/ARABICA-ethiopia_var_deed27a1-db3b-461f-93eb-07b34fc599be.webp,https://thegreenroasteries.com/product/ethiopia,ET -250G-G-B,ET -250G-G-B,adult,unisex,"250 g","Arabic Coffee","القهوة العربية","هيل","حبوب مطحونة","UAE"
c3ccc3fd-5b91-4a73-8d04-ab80a10a4800,"اثيوبيـــا - 500 g - زعفران - حبوب كاملة","نفخر بنكهة القهوة العربية اإلماراتية المحضرة حسب أصولها،
بدءا من انتقاء حبوب البن الخضراء وتحميصها بكل حب حتى ً
إضافة الهيل والزعفران، استمتع بتجربة فريدة للتعرف على تقاليدنا وثقافتنا.",94.95 AED,in stock,new,"المحامص الخضراء","القهوة العربية",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636500/greenroasteries/variations/variations/ARABICA-ethiopia_var_c3ccc3fd-5b91-4a73-8d04-ab80a10a4800.webp,https://thegreenroasteries.com/product/ethiopia,ET-SF-500G-T,ET-SF-500G-T,adult,unisex,"500 g","Arabic Coffee","القهوة العربية","زعفران","حبوب كاملة","UAE"
072e2ea6-eaa0-4ea2-87cb-d335b9ac3203,"اثيوبيـــا - 1 kg - هيل و زعفران - حبوب كاملة","نفخر بنكهة القهوة العربية اإلماراتية المحضرة حسب أصولها،
بدءا من انتقاء حبوب البن الخضراء وتحميصها بكل حب حتى ً
إضافة الهيل والزعفران، استمتع بتجربة فريدة للتعرف على تقاليدنا وثقافتنا.",175.00 AED,in stock,new,"المحامص الخضراء","القهوة العربية",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636511/greenroasteries/variations/variations/ARABICA-ethiopia_var_072e2ea6-eaa0-4ea2-87cb-d335b9ac3203.webp,https://thegreenroasteries.com/product/ethiopia,ET-SF-CAR-1KG-T,ET-SF-CAR-1KG-T,adult,unisex,"1 kg","Arabic Coffee","القهوة العربية","هيل و زعفران","حبوب كاملة","UAE"
fb77c470-97f2-4941-b245-6b27339f1f38,"اثيوبيـــا - 250 g - هيل و زعفران - حبوب مطحونة","نفخر بنكهة القهوة العربية اإلماراتية المحضرة حسب أصولها،
بدءا من انتقاء حبوب البن الخضراء وتحميصها بكل حب حتى ً
إضافة الهيل والزعفران، استمتع بتجربة فريدة للتعرف على تقاليدنا وثقافتنا.",57.95 AED,in stock,new,"المحامص الخضراء","القهوة العربية",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636534/greenroasteries/variations/variations/ARABICA-ethiopia_var_fb77c470-97f2-4941-b245-6b27339f1f38.webp,https://thegreenroasteries.com/product/ethiopia,ET-SF-CAR-250G-G,ET-SF-CAR-250G-G,adult,unisex,"250 g","Arabic Coffee","القهوة العربية","هيل و زعفران","حبوب مطحونة","UAE"
ca973bde-96db-41fe-b59e-81699c98da30,"اثيوبيـــا - 1 kg - هيل - حبوب مطحونة","نفخر بنكهة القهوة العربية اإلماراتية المحضرة حسب أصولها،
بدءا من انتقاء حبوب البن الخضراء وتحميصها بكل حب حتى ً
إضافة الهيل والزعفران، استمتع بتجربة فريدة للتعرف على تقاليدنا وثقافتنا.",154.00 AED,in stock,new,"المحامص الخضراء","القهوة العربية",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636675/greenroasteries/variations/variations/ARABICA-ethiopia_var_ca973bde-96db-41fe-b59e-81699c98da30.webp,https://thegreenroasteries.com/product/ethiopia,ET -1KG-G-B,ET -1KG-G-B,adult,unisex,"1 kg","Arabic Coffee","القهوة العربية","هيل","حبوب مطحونة","UAE"
9e1743f0-bb10-466b-bee0-51d46e0f8014,"اثيوبيـــا - 500 g - هيل - حبوب كاملة","نفخر بنكهة القهوة العربية اإلماراتية المحضرة حسب أصولها،
بدءا من انتقاء حبوب البن الخضراء وتحميصها بكل حب حتى ً
إضافة الهيل والزعفران، استمتع بتجربة فريدة للتعرف على تقاليدنا وثقافتنا.",85.95 AED,in stock,new,"المحامص الخضراء","القهوة العربية",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636268/greenroasteries/products/products/ARABICA-ethiopia.webp,https://thegreenroasteries.com/product/ethiopia,ET -500G-T-B,ET -500G-T-B,adult,unisex,"500 g","Arabic Coffee","القهوة العربية","هيل","حبوب كاملة","UAE"
b3240aa2-4b16-453a-82b8-27efe1e3de65,"اثيوبيـــا - 1 kg - هيل و زعفران - حبوب مطحونة","نفخر بنكهة القهوة العربية اإلماراتية المحضرة حسب أصولها،
بدءا من انتقاء حبوب البن الخضراء وتحميصها بكل حب حتى ً
إضافة الهيل والزعفران، استمتع بتجربة فريدة للتعرف على تقاليدنا وثقافتنا.",175.00 AED,in stock,new,"المحامص الخضراء","القهوة العربية",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636464/greenroasteries/variations/variations/ARABICA-ethiopia_var_b3240aa2-4b16-453a-82b8-27efe1e3de65.webp,https://thegreenroasteries.com/product/ethiopia,ET-SF-CAR-1KG-G,ET-SF-CAR-1KG-G,adult,unisex,"1 kg","Arabic Coffee","القهوة العربية","هيل و زعفران","حبوب مطحونة","UAE"
b828fea9-79b0-4ce2-82c4-dd1008c478c3,"اثيوبيـــا - 500 g - زعفران - حبوب مطحونة","نفخر بنكهة القهوة العربية اإلماراتية المحضرة حسب أصولها،
بدءا من انتقاء حبوب البن الخضراء وتحميصها بكل حب حتى ً
إضافة الهيل والزعفران، استمتع بتجربة فريدة للتعرف على تقاليدنا وثقافتنا.",94.95 AED,in stock,new,"المحامص الخضراء","القهوة العربية",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636489/greenroasteries/variations/variations/ARABICA-ethiopia_var_b828fea9-79b0-4ce2-82c4-dd1008c478c3.webp,https://thegreenroasteries.com/product/ethiopia,ET-SF-500G-G,ET-SF-500G-G,adult,unisex,"500 g","Arabic Coffee","القهوة العربية","زعفران","حبوب مطحونة","UAE"
3a83ed2a-3fa6-40a4-ba7d-9856f363eae4,"اثيوبيـــا - 500 g - هيل و زعفران - حبوب مطحونة","نفخر بنكهة القهوة العربية اإلماراتية المحضرة حسب أصولها،
بدءا من انتقاء حبوب البن الخضراء وتحميصها بكل حب حتى ً
إضافة الهيل والزعفران، استمتع بتجربة فريدة للتعرف على تقاليدنا وثقافتنا.",99.95 AED,in stock,new,"المحامص الخضراء","القهوة العربية",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636493/greenroasteries/variations/variations/ARABICA-ethiopia_var_3a83ed2a-3fa6-40a4-ba7d-9856f363eae4.webp,https://thegreenroasteries.com/product/ethiopia,ET-SF-CAR-500G-G,ET-SF-CAR-500G-G,adult,unisex,"500 g","Arabic Coffee","القهوة العربية","هيل و زعفران","حبوب مطحونة","UAE"
a3f3f620-a6f6-4f03-ac69-b3982651dfd3,"اثيوبيـــا - 500 g - هيل و زعفران - حبوب كاملة","نفخر بنكهة القهوة العربية اإلماراتية المحضرة حسب أصولها،
بدءا من انتقاء حبوب البن الخضراء وتحميصها بكل حب حتى ً
إضافة الهيل والزعفران، استمتع بتجربة فريدة للتعرف على تقاليدنا وثقافتنا.",99.95 AED,in stock,new,"المحامص الخضراء","القهوة العربية",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636498/greenroasteries/variations/variations/ARABICA-ethiopia_var_a3f3f620-a6f6-4f03-ac69-b3982651dfd3.webp,https://thegreenroasteries.com/product/ethiopia,ET-SF-CAR-500G-T,ET-SF-CAR-500G-T,adult,unisex,"500 g","Arabic Coffee","القهوة العربية","هيل و زعفران","حبوب كاملة","UAE"
51cfca8f-30ba-4018-9cd0-81b359f2edf4,"اثيوبيـــا - 250 g - زعفران - حبوب مطحونة","نفخر بنكهة القهوة العربية اإلماراتية المحضرة حسب أصولها،
بدءا من انتقاء حبوب البن الخضراء وتحميصها بكل حب حتى ً
إضافة الهيل والزعفران، استمتع بتجربة فريدة للتعرف على تقاليدنا وثقافتنا.",54.95 AED,in stock,new,"المحامص الخضراء","القهوة العربية",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636563/greenroasteries/variations/variations/ARABICA-ethiopia_var_51cfca8f-30ba-4018-9cd0-81b359f2edf4.webp,https://thegreenroasteries.com/product/ethiopia,ET-SF-250G-G,ET-SF-250G-G,adult,unisex,"250 g","Arabic Coffee","القهوة العربية","زعفران","حبوب مطحونة","UAE"
8fa319b2-c6ef-4ba5-bcd4-49cd2ff3b981,"اثيوبيـــا حــرار - 1 kg - حبوب مطحونة","",175.00 AED,in stock,new,"المحامص الخضراء","تحميص الإسبريسو",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636516/greenroasteries/variations/variations/ETH-HAR-ESPRSS-ROAS_var_8fa319b2-c6ef-4ba5-bcd4-49cd2ff3b981.webp,https://thegreenroasteries.com/product/ethiopia-harrar-1,ESS-1KG-ETHH-G,ESS-1KG-ETHH-G,adult,unisex,"1 kg","Arabic Coffee","تحميص الإسبريسو","","حبوب مطحونة","UAE"
769a1c83-5da4-4c66-a057-b227ee81c8ee,"اثيوبيـــا حــرار - 500 g - حبوب كاملة","",95.00 AED,in stock,new,"المحامص الخضراء","تحميص الإسبريسو",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636570/greenroasteries/variations/variations/ETH-HAR-ESPRSS-ROAS_var_769a1c83-5da4-4c66-a057-b227ee81c8ee.webp,https://thegreenroasteries.com/product/ethiopia-harrar-1,ESS-500G-ETHH-T,ESS-500G-ETHH-T,adult,unisex,"500 g","Arabic Coffee","تحميص الإسبريسو","","حبوب كاملة","UAE"
4ab6fb22-c81c-4e5b-a685-bfe797138738,"اثيوبيـــا حــرار - 500 g - حبوب مطحونة","",95.00 AED,in stock,new,"المحامص الخضراء","تحميص الإسبريسو",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636584/greenroasteries/variations/variations/ETH-HAR-ESPRSS-ROAS_var_4ab6fb22-c81c-4e5b-a685-bfe797138738.webp,https://thegreenroasteries.com/product/ethiopia-harrar-1,ESS-500G-ETHH-G,ESS-500G-ETHH-G,adult,unisex,"500 g","Arabic Coffee","تحميص الإسبريسو","","حبوب مطحونة","UAE"
